Time,Time Code,Country Name,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any methods (% of women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)",Antiretroviral therapy coverage (% of people living with HIV),"Labor force, female (% of total labor force)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)",Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,"Patent applications, nonresidents","Patent applications, residents",People practicing open defecation (% of population)
2000,YR2000,Australia,AUS,19153000,1.192272323,7741220,,404481658094,21120,489711413128,25570,,79.23414634,1.756,17.9326,,99.3,6.2,,91,,,,0.1,1288410,,5644.064951,17.20060983,10193.91218,415222633926,3.933102332,2.579736233,3.119068182,24.63840014,19.43465944,21.59435174,26.3080439,25.94277625,,89.78179886,1.829841913,45.08349055,,32.60877152,100,,,,868990623.8,14892978180,,21679.24784,-10797958705,4.457435148,49,43.63771896,97.967,56.11,1262,17,870,20073,1928,0
2000,YR2000,Austria,AUT,8011566,0.2404666524,83879.00391,,214597273270,26790,233330541766,29120,,78.12682927,1.36,13.9232,,98.3,5.5,,75,,98.69606,0.96969,,38380,,3570.498826,7.774259739,7076.269483,196799778883,3.375721973,1.364041084,1.647300213,28.28480203,43.34627395,42.01422167,25.92697094,43.77722062,,15.21100286,0.9803185801,75.80605745,,71.1911369,100,,,,1298060059,8525406379,,24564.45829,,2.344864555,,43.51296944,126.568,63.196,370,5,248,340,1961,0
2000,YR2000,Azerbaijan,AZE,8048600,0.8215199637,86600,,4922349091,610,27890741774,3470,,66.763,2,36.5066,55.1,84.1,75,14,67,89.51351,,,,8717.999878,,1403.433268,3.666271029,2040.47909,5272617196,11.09999925,12.4927737,16.08486467,42.53830991,40.17083148,38.3777368,20.67357623,,,,2.267862063,5.17559282,,55.32356876,100,1585215993,2.768435683,,100962000,129937000,17.47011903,655.0974326,-129177000,1.805003037,,46.65523318,220.92,118.133,8673,66,4730,,,0.1425056499
2000,YR2000,"Bahamas, The",BHS,298051,1.347398334,13880,,7732621290,25940,7684563693,25780,,71.914,2.073,51.222,,99,15.7,,93,,,,2.6,5150,,,5.597984909,,8076470000,4.149243017,0.9219092341,1.344646857,12.14887197,38.04756286,41.59738103,30.18521706,11.60359662,,,,10.57671338,,32.81136437,100,,,,56170000,250250000,,27097.61081,-250250000,1.606329417,1,47.94258252,238.648,141.64,69,4,45,,,1.136466193
2000,YR2000,Bahrain,BHR,664611,4.31530764,710,,7269677350,10940,23181887375,34880,,74.44,2.795,17.583,,97.7,12.5,,98,98.78815,97.56947,1.02969,,3.700000048,,11988.77539,28.05103737,20014.71537,9062906915,5.299994794,29.9914839,,,79.18059732,56.62841845,16.57502392,31.2707896,,73.09299392,3.961670969,30.9544982,,119.4649807,100,,,,1012681830,363562321.9,90.92536837,13636.40824,-354009613.6,-0.7048529531,,21.26744978,98.726,78.353,158,4,71,,,0
2000,YR2000,Bangladesh,BGD,127657854,1.95238739,148460,48.9,55712709024,440,177501589108,1390,8.6,65.447,3.169,112.2538,54.3,12.1,87.3,42.3,74,,49.76399,,0.1,14680,,143.0538148,0.2183116755,104.6077431,53369787319,5.293294718,3.44665935,22.71814808,22.27938268,12.34420123,16.97751313,23.80856257,,,4.107529953,1.357119181,0.218552945,,28.615441,100,15602839578,1.403444751,,4378216.685,280384629.7,9.199042309,418.0689683,-280384629.7,2.208256209,0,22.45936423,175.701,164.565,222249,15000,148651,248,70,17.68376596
2000,YR2000,Barbados,BRB,271515,0.3926450615,430,,2987718436,11000,3224061100,11870,,77.162,1.775,51.1212,,98,15.2,,94,98.39069,103.62408,1.00695,0.7,63.00000191,,,4.375846638,,3121500000,4.453059514,-1.342850566,1.955790485,15.00240269,42.37706231,46.40237066,17.74787762,,,54.67019061,,10.48450362,,45.74723691,100,,,,19150000,19400000,0.8839290647,11496.6024,-18350000,2.435813035,0,48.36901854,155.61,99.216,52,2,36,,,0.7022727273
2000,YR2000,Belarus,BLR,9979610,-0.4711313346,207600,41.9,13772556467,1380,59929813931,6010,7.9,68.91219512,1.317,27.783,,99.9,12.8,,98,102.32492,,,0.1,82730,15.64240071,2462.411056,5.389745291,2996.309475,12736856828,5.80000344,185.2907607,12.09682717,33.47894633,69.21082134,72.39834461,25.39867306,28.68127176,,,1.346984151,0.499947729,,125.399855,100,2620196263,3.070704,,9600000,118800000,,1276.288034,-118600000,168.6202359,0,48.78338495,354.094,125.338,881,19,534,204,994,0
2000,YR2000,Belgium,BEL,10251250,0.2425179562,30530,,266898052771,26040,294129706030,28690,,77.72195122,1.67,10.6408,,,5.8,,82,,144.87628,1.05728,,6672.999878,,5669.358176,11.2296677,8247.677113,237904919845,3.633635802,2.023591818,1.167948509,24.82193616,71.85758766,69.22148384,23.78182339,42.11349149,,76.70313002,1.341210276,54.74598263,,153.7933727,100,,,,3587770752,,,23207.40591,,2.544517762,,42.98506136,130.497,68.703,544,9,337,243,577,0
2000,YR2000,Belize,BLZ,247315,3.42494863,22970,,779983034.6,3150,1281490861,5180,,68.847,3.601,97.2162,,100,23.6,,96,100.05013,67.98631,0.98493,1.3,14593.00049,9.396151875,,1.601342418,,832072450,13.01957737,0.4759445929,14.64928925,18.53630053,52.97222616,73.67303773,31.70716685,20.35820318,,,0.8552520882,6.797808463,,86.53092648,100,629903800.8,9.907697356,,6435358.715,29564651.92,65.86741605,3364.423711,-23340762.43,,0,32.82089669,240.876,146.568,146,7,88,,,4.468299918
2000,YR2000,Benin,BEN,6865951,2.983994776,114760,,2691398095,390,9061394081,1320,,55.391,5.962,118.5246,,,139.3,,70,37.80433,21.83777,0.63333,1.3,50610,,288.7684459,0.2328609686,58.11285283,2569186643,5.859992101,4.338065007,22.88978789,28.21998688,21.14038924,34.85130112,23.56767986,,,,0.5642357315,0.807987124,,39.11743831,100,1399684852,2.94497133,,8879509.37,-12763065.75,35.64983205,374.1923942,-56153556.57,4.165404423,0,45.87141427,314.525,257.273,24588,1500,11621,,,67.60516455
2000,YR2000,Bermuda,BMU,61833,0.8941829159,54.00000095,,,,,,,77.88536585,1.74,,,,,,,,,,,10,,,8.36199117,,3480219000,9.317155577,-4.236355416,0.668952155,11.07301006,,,,,,61.66278616,,19.99630837,,22.15377825,100,,,,,66900000,,56284.16865,,,,,,,,,,,,0
2000,YR2000,Bhutan,BTN,591021,2.248358465,40076.99951,,438794480.5,740,1612902562,2730,,60.884,3.515,77.1602,30.7,23.7,77.7,,78,51.06835,30.02343,0.85716,0.2,26060,,,0.6700878649,,439158233.2,6.93302424,2.286209091,26.80119971,35.21763502,29.37722626,48.28761896,48.65914233,22.87268129,,,,0,,63.30292341,100,211571982.8,1.604122347,,,,90.3351996,743.0501339,,4.01099373,,41.9533026,288.931,294.852,922,68,510,,,10.11785489
2000,YR2000,Bolivia,BOL,8418264,1.93343126,1098580,,8287259662,980,28494081306,3380,1.1,62.452,4.051,86.5276,53.4,67.3,75.3,,84,,72.90833,0.96531,0.5,600910,,582.6752404,1.314642306,415.8814691,8397912509,2.507807553,5.19540791,12.96581268,25.73902396,18.27474597,27.32302914,18.14347892,17.80198046,,,2.062971201,6.920904357,,36.43762657,100,5892765188,7.849025261,,37000000,736350000,57.73518151,997.5824599,-733550000,4.608229989,0,42.16669934,272.111,207.982,14060,850,7330,,,33.04305279
2000,YR2000,Bosnia and Herzegovina,BIH,3751176,0.2087389827,51210,,5571948186,1490,18888060741,5040,,74.403,1.497,21.4168,47.5,98.9,9.8,4.2,80,,,,0.1,21850,,1158.63132,3.67562599,2030.296632,5505887894,5.500000436,28.78778426,8.903610232,19.36975789,28.69084267,75.50159552,20.55163829,,,,,2.489512622,,75.84607751,100,2791207815,5.241605165,,2350912.047,146075610.9,196.7196421,1467.776477,-146075610.9,,0,40.29809608,161.084,81.384,364,7,282,242,31,0.6610413588
2000,YR2000,Botswana,BWA,1643334,2.032896436,581730,,5217033318,3170,13163199317,8010,,50.629,3.304,59.1762,44.4,98.5,86.9,10.7,91,96.82113,80.41093,1.01819,26.3,125350,44.14193091,1092.485764,2.300613874,1155.577625,5788329609,1.987695854,14.17096689,2.794699789,46.30065457,51.83181007,40.09291962,29.55108039,,,16.88932846,3.191242951,13.52068417,,82.16532784,100,452434627.4,1.263712341,,133941061.2,57171313.17,18.63285248,3522.308678,-54918578.97,8.601485149,0,44.36165881,615.861,507.203,2367,130,1254,,,21.71463493
2000,YR2000,Brazil,BRA,174790340,1.424167434,8515770,,687360261722,3930,1540368765613,8810,,70.116,2.3,82.21,,98.6,34.8,,99,,,,0.4,5212740,,1072.379538,1.876441307,1897.353137,655420645477,4.387949443,5.606065146,4.750459976,23.00661863,10.188048,12.45171335,18.90311927,19.55466415,,34.50491094,1.730726147,13.26627719,,17.35709743,100,242511685522,9.203848314,,338325000,32994718700,1.379195212,3749.75325,-30497652700,7.044141059,23,39.98799979,247.531,125.46,106963,2400,64161,14104,3179,8.936555292
2000,YR2000,British Virgin Islands,VGB,20311,1.413118192,150,,,,,,,,,,,,,,,111.17647,98.75979,1.02807,,36.70000076,,,5.055191768,,,,,,,,,,,,,,,,,100,,,,,8073327000,,,,,,,,,,,,,,0.9917923464
2000,YR2000,Brunei Darussalam,BRN,333165,2.1096517,5770,,4892094612,14680,21757595388,65310,,72.809,2.346,27.4754,,99.5,10.3,,99,114.79095,84.64923,0.98215,,3970,,7157.132352,14.14342743,7545.810634,6001153306,2.849421858,29.01570917,1.024413492,63.66977334,67.35433192,35.81729355,13.05791927,,,,4.06920549,28.51439977,,83.48395291,100,,,,,,,18012.55626,,1.558152476,,40.76104955,123.518,89.125,63,2,38,21,,
2000,YR2000,Bulgaria,BGR,8170172,-0.4938964166,110990,14,13484500039,1650,50826796086,6220,,71.66341463,1.26,44.808,,99.8,17.5,,89,96.15943,92.78796,0.97697,0.1,33750,,2277.367967,5.328034342,3673.606871,13153016531,4.765771064,7.196768253,11.03631507,22.67525548,36.47440901,41.81997866,19.19055565,,,0.9814478656,2.671170465,9.227356436,,86.64172187,100,12008623065,9.989055449,,25957718.8,1001503842,,1609.882452,-998219916.7,10.31626213,16,45.90478058,224.995,98.817,938,13,516,709,231,0
2000,YR2000,Burkina Faso,BFA,11607942,2.841885125,274220,,2861636353,250,9832591706,850,,50.489,6.592,139.304,,,178.9,,48,25.42222,10.42248,0.70023,2.1,62480,,,0.08971685076,,2628920056,1.820241893,-0.8197719678,30.78931083,20.20464997,9.532602085,24.97978041,20.06839449,,,,1.392162753,0.217480411,,31.19151524,100,1437932410,1.824633878,,44507102.97,23219874.87,15.48767215,226.4759814,,-0.3042121685,,45.82422384,358.956,298.574,47612,2800,21998,,2,71.39430563
2000,YR2000,Burundi,BDI,6378871,1.767356522,27830,,859340957.8,130,3704285880,580,,49.091,6.92,76.266,15.7,25.2,156.4,38.9,72,24.3505,,,3.3,1980,5.07665344,,0.04254012975,,870486065.9,-0.8568640584,38.9448932,44.10704011,15.53957069,6.318970594,16.23475389,2.78113771,,,,4.862402213,0.255844647,,22.74591263,100,1125869261,2.558688464,,2463668.236,11683518.19,14.62798041,136.4639708,-11683240.67,24.43202421,0,52.15990591,381.883,328.154,26046,2800,10305,,,2.759964702
2000,YR2000,Cabo Verde,CPV,428188,1.82320284,4030,,601942766.2,1410,1293207597,3020,,68.583,3.539,96.512,,,35.6,,86,105.99315,68.67609,,0.7,820.8999634,,,0.50527572,,539227277.6,14.28486883,-7.901103461,12.8717827,21.74719078,27.00721854,60.51338982,,,,,1.154025913,4.60755556,,44.69358469,100,319703769.2,3.077463133,,479393.645,34202238.38,221.0477641,1259.323656,-32806136.11,-2.477456685,0,42.83480175,178.15,136.058,346,14,204,,,51.00437576
2000,YR2000,Cambodia,KHM,12155239,2.236050134,181040,,3657595026,300,12868479071,1060,,58.432,3.805,49.5172,23.8,31.8,106.8,39.5,65,,17.28545,0.8183,1.2,115460,,280.7322834,0.1626058525,32.74308304,3677897739,10.7119948,-4.283226767,35.68562535,21.71482579,49.52278105,61.3625144,17.41524687,,,,2.20981321,1.073997805,,90.48647451,100,1946021127,0.3547518599,,59617900,118308566.3,32.61062987,302.5771636,-141910547.8,-0.7919925295,0,51.6223722,292.208,226.73,26759,1700,12020,,,84.59341488
2000,YR2000,Cameroon,CMR,15513945,2.621099328,475440,,10322550319,670,29784946287,1920,,50.993,5.58,154.7712,25.6,56.1,149.4,,49,49.51233,27.57544,,4.6,221160,18.38837293,406.708803,0.2212404388,175.2616759,10083937740,3.553374364,5.214816796,16.73646394,29.91514323,25.90820941,24.94465955,19.98456876,,,,1.324748865,0.665717198,,32.94347987,100,10561281361,5.897101555,,29980072.04,159311348,24.31103114,649.9918454,-149126598.5,1.22719013,0,48.22322022,425.353,396.817,56919,5700,22803,,,7.405837581
2000,YR2000,Canada,CAN,30685730,0.9312815535,9984670,,698074364266,22750,877373999039,28590,7.1,79.13658537,1.488,16.8338,,99.3,6.2,,96,97.81784,101.92313,1.01057,,3478020,,8265.079925,17.41463895,17037.07228,742295468319,5.178762944,4.345245858,1.865594807,29.88308056,44.31100625,38.66378564,20.6832834,20.93138229,,103.8456481,1.11808088,28.53043915,,70.24440028,100,,,,1696622259,68303350856,,24190.24962,-21653038994,2.719439957,,45.70185698,100.924,61.045,1754,31,1241,35435,4187,0
2000,YR2000,Cayman Islands,CYM,42303,4.553329355,263.9999962,,,,,,,,,,,,,,,,,,,126.9999981,,,11.00888826,,,0.9999978114,3.478776883,,,,,,,,,,25.29371439,,,100,,,,,9358723000,,,,,,,,,,,,,,
2000,YR2000,Central African Republic,CAF,3640427,2.289845843,622980,,937849834.8,260,2428683089,670,,44.19,5.5,149.054,27.9,31.7,171.8,21.8,36,,,,7.2,224040,23.23119137,,0.07353285755,,914500299.1,-2.48943244,8.506601078,,,20.37221359,25.2875684,11.07229594,,,,,0.136440038,,30.39911526,100,869008795.3,1.623692368,,,889074.9126,20.84920258,251.2068774,,3.203400916,0,46.64162336,540.27,522.699,16258,1900,7441,,,22.94967396
2000,YR2000,Chad,TCD,8355654,3.682718582,1284000,,1505642210,180,6510176644,780,,47.713,7.354,212.41,7.9,13.7,185.9,29.4,28,22.1474,10.76674,0.56186,1.8,63260,,,0.02106549649,,1385058162,-0.8796810254,5.28980486,40.70509403,10.91266173,16.89009643,34.68107558,23.27390222,,,,1.362045317,0.065823693,,36.09956707,100,1098899966,1.826651065,,,115172421.5,15.71750099,165.7629866,,3.822600881,0,45.03971318,427.049,386.934,41668,6100,19017,,,70.75811072
2000,YR2000,Channel Islands,CHI,148443,0.6000058541,197.9999924,,6310777789,42510,,,,79.037,1.526,13.656,,,,,,,,,,8.000000119,,,,,6439703435,5.826641469,3.892317592,,,,,,,,3.961051974,,,,,,,,,,,,43381.65784,,,,43.10776257,92.994,58.043,,,,,,
2000,YR2000,Chile,CHL,15342353,1.177211428,756096.0156,36,77651817813,5060,141423037029,9220,3.8,76.366,2.055,60.3632,,99,10.9,,97,,85.52158,0.99598,0.2,158340,,1640.410373,3.833506699,2499.290689,77860932152,5.326938419,4.271839188,5.377918724,31.42229659,30.53170013,28.78412198,22.11674947,20.88936892,,77.57519507,2.703282046,22.17081695,,48.44149557,100,,,,15600000,4860015668,3.1918181,5074.901624,-873370518.2,3.843272957,12,34.80574037,142.235,75.536,2367,79,1395,2879,241,2.353353321
2000,YR2000,China,CHN,1262645000,0.787956593,9562920,,1181545268969,940,3662603190120,2900,,71.397,1.596,9.911,83.8,96.6,36.8,7.4,84,,60.2599,,,1770005,4.059924136,898.9873131,2.696862433,992.9433847,1211346869605,8.491508492,2.06146138,14.67624166,45.53727864,20.89344482,18.51709397,34.42965254,,,,1.887353783,6.606481691,,39.15451568,100,145874130764,2.22364383,,754290000,42095300000,1.385203284,959.3724836,-37483300000,0.3478062568,,45.10519005,131.48,94.3,529921,10000,376558,26560,25346,2.758258597
2000,YR2000,Colombia,COL,39629968,1.60375178,1141750,,92623850824,2340,259586734057,6550,1.9,72.945,2.572,97.6814,76.9,86.1,25,4.9,88,96.01168,73.0866,1.03857,0.4,617984.4141,24.85340876,651.3635338,1.461619449,845.5974529,99886577331,2.924861483,33.67537051,8.305719533,27.30577228,15.91513972,16.75194575,14.89562703,15.49434966,,,3.031683539,5.694682872,,24.60991322,100,34329248551,5.265935819,,219135624.6,2436459923,4.709819599,2520.480898,-2111113395,9.222570802,0,41.01896482,230.093,111.186,18635,830,11863,1694,75,8.955379597
2000,YR2000,Comoros,COM,542357,2.522340022,1861.000061,,393608967.7,730,1031838095,1900,,59.46,5.384,94.8934,25.7,61.8,101.9,25,70,,,,0.1,450,,,0.1893144184,,350264287.7,10.84787862,-4.460024513,29.37631994,12.20627155,8.836314059,26.92116449,18.04229519,,,,,0,,16.2734261,100,232285377.4,0.9286864091,,,93636.11508,35.60385503,645.8186908,,,0,38.17528622,297.454,245.272,1459,90,834,,,0.662897738
2000,YR2000,"Congo, Dem. Rep.",COD,47105826,2.550436336,2344860,,6351297794,130,21034807038,450,,50.041,6.751,125.4476,,,160.8,,46,,,,1.8,1572490,23.3864837,295.2242256,0.01728181138,96.56979585,19088046306,-6.910927317,2630.122674,31.97235827,22.4057063,11.44961203,15.56479089,14.43349633,,,,0.2202607726,0.031843195,,7.805932447,100,11815384526,0.1590718439,,,94190400,3.78806647,405.216253,,513.9068437,0,50.24808551,370.806,317.698,226822,17000,84358,,,10.20530987
2000,YR2000,"Congo, Rep.",COG,3127411,2.886358372,342000,,1766723633,560,8125981776,2600,,52.123,4.871,122.1396,,,114.3,,34,,,,4.2,225560,,226.9839174,0.3353451145,95.60623788,3219910550,7.575980392,47.04008308,5.304252999,72.15267176,80.29714722,43.61273719,22.6259542,,,,,2.238273128,,91.74167896,100,4675949722,1.979541266,,36536329.84,-97897925.12,10.28006872,1029.577037,-162058771,-0.881991517,0,49.96940388,427.754,407.987,8529,890,3680,,,8.237054081
2000,YR2000,Costa Rica,CRI,3962372,1.960917604,51100,,14066314881,3550,29436005402,7430,3.9,77.452,2.363,74.9312,,96.6,13,,82,88.31564,62.0568,1.00061,0.2,23760,,725.2181269,1.381705453,1506.92565,14949514493,3.833166661,9.414587535,9.288489346,25.5523604,43.11444085,43.78156897,20.73621629,22.25516097,,,0,5.34058892,,81.86887946,100,4692408664,4.568974108,,142395232.1,723426415.3,3.331337896,3772.870012,-616036841.1,10.99252429,8,32.60061469,126.586,71.411,855,30,586,,,0.8047894556
2000,YR2000,Cote d'Ivoire,CIV,16454668,2.598674067,322460,,10611344473,640,35480054293,2160,,49.635,5.87,137.767,,62.8,144.8,,68,43.29003,,,5.6,103280,15.82712082,412.6449102,0.4127268931,173.9931793,10717022463,-2.068400057,2.245818787,24.98911571,21.50447966,40.78102913,33.85677511,10.4845624,,,,,2.874272516,,59.43815106,100,12059905376,10.52445996,,389722259.5,234701641.1,21.32647101,651.3059068,,2.530775167,0,34.99004917,470.644,441.673,63906,4700,31363,,,36.12045864
2000,YR2000,Croatia,HRV,4468302,-0.9864348586,56540,,23409515797,5240,46712469937,10450,,72.80780488,1.39,16.773,69,99.9,8.3,,93,90.88206,85.52605,1.01085,0.1,18850,,1876.805775,4.328211925,2828.815062,21774273832,3.772605557,4.429622532,4.988633421,24.33558622,36.50504249,39.55190183,20.15082908,35.27279197,,12.60496686,3.030055777,23.32842149,,56.57593955,100,,,,64996306.21,1056781255,14.66105022,4873.053306,-1012433654,4.611315547,31,44.3537266,174.609,70.95,327,5,249,538,337,0.4457443919
