Country (code),Country,Year,Sex,Youth unemployed ('000),Youth labour force ('000),Youth unemployment rate (%),Adult unemployed ('000),Adult labour force ('000),Ratio of youth unemployment rate to adult unemployment rate,Total unemployed ('000),Share of youth unemployed in total unemployed (%),Youth population ('000),Share of youth unemployed in youth population (%),Adult unemployment rate (%),Repository (code),Type of source (code),Coverage (code),Age,Notes
AR,Argentina,2003,M,  322.2, 1 000.5,32.2,  497.6, 4 827.0,3.1,  819.8,39.3, 2 130.5,15.1,10.3,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Second semester
Geographic limitation: 28 urban agglomerations
Survey limitation: Methodology revised; data not strictly comparable."
AR,Argentina,2004,M,  285.8, 1 147.9,24.9,  397.4, 4 962.0,3.1,  683.2,41.8, 2 068.3,13.8,8.0,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Second semester
Geographic limitation: 28 urban agglomerations"
AR,Argentina,2005,M,  239.0, 1 106.5,21.6,  320.0, 4 982.6,3.4,  559.0,42.8, 2 019.9,11.8,6.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Second semester
Geographic limitation: 28 urban agglomerations"
AR,Argentina,2006 b,M,  213.8, 1 125.9,19.0,  271.4, 5 122.9,3.6,  485.2,44.1, 2 096.0,10.2,5.3,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Second semester
Geographic limitation: 31 urban agglomerations"
AR,Argentina,2007 b,M,  186.239, 1 106.539,16.8,  242.85, 5 275.571,3.7,  429.089,43.4, 2 108.519,8.8,4.6,NSO,LFS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of first, second and fourth quarters
Geographic limitation: 31 urban agglomerations"
AR,Argentina,2008,M,  177.801, 1 075.749,16.5,  237.373, 5 336.46,3.7,  415.174,42.8, 2 148.433,8.3,4.4,NSO,LFS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of quarterly estimates
Geographic limitation: 31 urban agglomerations"
AR,Argentina,2009,M,  203.718, 1 081.431,18.8,  301.258, 5 428.532,3.4,  504.976,40.3, 2 134.602,9.5,5.5,NSO,LFS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of quarterly estimates
Geographic limitation: 31 urban agglomerations"
AM,Armenia,2001,M,  76.2,  182.0,41.9,  192.6,  659.5,1.4,  268.8,28.3,  289.0,26.4,29.2,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: October
AM,Armenia,2007 b,M,  66.9,  141.8,47.2,  116.8,  696.4,2.8,  183.7,36.4,,,16.8,LABORSTA,HS,T,Youth: 16-24; Adult: 25+,Coverage limitation: Excluding conscripts
AM,Armenia,2008 b,M,  38.7,  103.4,37.4,  108.1,  600.4,2.1,  146.7,26.4,  261.772,14.8,18.0,NSO,LFS,T,Youth: 15-24; Adult: 25-75,Reference period: July
AW,Aruba,1991,M,  0.296,  2.298,12.9,  0.76,  15.544,2.6,  1.056,28.0,  4.557,6.5,4.9,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: October
AW,Aruba,1994 b,M,  0.22,  2.47,8.9,  0.97,  18.77,1.7,  1.19,18.5,,,5.2,CARIBBEAN,HS,T,Youth: 15-24; Adult: 25+,
AW,Aruba,1997,M,  0.44,  2.64,16.7,  1.21,  21.7,3.0,  1.65,26.7,,,5.6,CARIBBEAN,HS,T,Youth: 15-24; Adult: 25+,
AW,Aruba,2000 b,M,  0.368,,,  1.195,,,  1.563,23.5,,,,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: October
AW,Aruba,2007 b,M,  0.799,  3.313,24.1,  0.64,  25.258,9.5,  1.419,56.3,  6.657,12.0,2.5,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: October
AU,Australia,1980,M,  113.668, 1 001.298,11.4,  99.805, 3 209.925,3.7,  213.473,53.2, 1 282.331,8.9,3.1,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Remark: Including some contributing family workers who worked less than 15 hours per week if actively looking for work."
AU,Australia,1981,M,  103.666, 1 018.252,10.2,  102.124, 3 260.616,3.3,  205.79,50.4, 1 293.613,8.0,3.1,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Remark: Including some contributing family workers who worked less than 15 hours per week if actively looking for work."
AU,Australia,1982,M,  135.176, 1 017.934,13.3,  140.047, 3 314.838,3.1,  275.223,49.1, 1 304.402,10.4,4.2,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Remark: Including some contributing family workers who worked less than 15 hours per week if actively looking for work."
AU,Australia,1983,M,  194.952, 1 004.975,19.4,  229.805, 3 366.632,2.8,  424.757,45.9, 1 311.61,14.9,6.8,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Remark: Including some contributing family workers who worked less than 15 hours per week if actively looking for work."
AU,Australia,1984,M,  174.972,  998.931,17.5,  209.597, 3 428.005,2.9,  384.569,45.5, 1 318.283,13.3,6.1,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Remark: Including some contributing family workers who worked less than 15 hours per week if actively looking for work."
AU,Australia,1985,M,  156.25, 1 004.096,15.6,  199.684, 3 478.209,2.7,  355.934,43.9, 1 328.538,11.8,5.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Remark: Including some contributing family workers who worked less than 15 hours per week if actively looking for work."
AU,Australia,1986 b,M,  155.881, 1 020.993,15.3,  195.902, 3 565.055,2.8,  351.783,44.3, 1 344.593,11.6,5.5,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1987,M,  152.999, 1 017.37,15.0,  208.013, 3 634.63,2.6,  361.012,42.4, 1 359.68,11.3,5.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1988,M,  136.973, 1 024.206,13.4,  184.103, 3 720.279,2.7,  321.076,42.7, 1 371.895,10.0,4.9,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1989,M,  110.616, 1 037.811,10.7,  165.848, 3 804.669,2.4,  276.464,40.0, 1 376.411,8.0,4.4,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1990,M,  137.753, 1 041.251,13.2,  194.521, 3 891.247,2.6,  332.274,41.5, 1 383.3,10.0,5.0,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1991,M,  186.734, 1 006.12,18.6,  302.779, 3 936.018,2.4,  489.513,38.1, 1 383.66,13.5,7.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1992,M,  208.879, 1 003.158,20.8,  357.298, 3 968.688,2.3,  566.177,36.9, 1 383.466,15.1,9.0,OECD,LFS,C,Youth: 15-24; Adult: 25+,Reference period: Average of monthly estimates
AU,Australia,1993 b,M,  196.617,  993.397,19.8,  377.388, 4 001.132,2.1,  574.005,34.3, 1 380.848,14.2,9.4,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,1994,M,  177.631, 1 004.293,17.7,  327.953, 4 046.722,2.2,  505.584,35.1, 1 376.609,12.9,8.1,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,1995,M,  159.388, 1 003.664,15.9,  294.054, 4 136.896,2.2,  453.442,35.2, 1 359.552,11.7,7.1,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,1996,M,  164.338,  997.79,16.5,  291.665, 4 199.388,2.4,  456.003,36.0, 1 349.66,12.2,6.9,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,1997,M,  169.555,  980.579,17.3,  284.539, 4 254.488,2.6,  454.094,37.3, 1 347.486,12.6,6.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,1998,M,  150.658,  978.438,15.4,  272.328, 4 318.382,2.4,  422.986,35.6, 1 354.851,11.1,6.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,1999,M,  134.325,  959.969,14.0,  243.512, 4 359.282,2.5,  377.837,35.6, 1 327.575,10.1,5.6,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2000,M,  122.54,  956.124,12.8,  224.127, 4 417.52,2.5,  346.667,35.3, 1 323.229,9.3,5.1,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2001 b,M,  141.762,  968.401,14.6,  238.21, 4 460.913,2.7,  379.972,37.3, 1 339.599,10.6,5.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory
Survey limitation: Questionnaire and definitions revised."
AU,Australia,2002,M,  134.406,  975.545,13.8,  225.063, 4 530.755,2.8,  359.469,37.4, 1 361.512,9.9,5.0,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2003,M,  124.779,  988.547,12.6,  204.219, 4 582.01,2.8,  328.998,37.9, 1 385.33,9.0,4.5,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2004,M,  118.657, 1 003.726,11.8,  179.994, 4 649.314,3.1,  298.651,39.7, 1 409.063,8.4,3.9,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2005,M,  112.79, 1 034.172,10.9,  170.573, 4 756.398,3.0,  283.363,39.8, 1 435.678,7.9,3.6,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2006,M,  111.392, 1 056.307,10.5,  164.544, 4 850.626,3.1,  275.936,40.4, 1 464.473,7.6,3.4,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2007,M,  102.374, 1 080.095,9.5,  142.725, 4 973.441,3.3,  245.099,41.8, 1 503.278,6.8,2.9,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2008,M,  100.798, 1 113.658,9.1,  145.813, 5 089.312,3.2,  246.611,40.9, 1 546.869,6.5,2.9,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2009,M,  140.389, 1 118.976,12.5,  222.062, 5 201.709,2.9,  362.451,38.7, 1 585.008,8.9,4.3,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AU,Australia,2010,M,  134.707, 1 128.36,11.9,  196.128, 5 350.168,3.3,  330.835,40.7, 1 615.618,8.3,3.7,OECD,LFS,C,Youth: 15-24; Adult: 25+,"Reference period: Average of monthly estimates
Geographic limitation: Excluding Jervis Bay Territory"
AT,Austria,1981,M,  11.2,,,  24.4,,,  35.6,31.5,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of May and November
Remark: Excluding the unemployed not previously employed"
AT,Austria,1982,M,  18.2,  423.4,4.3,  37.6, 1 590.2,1.8,  55.8,32.6,  640.5,2.8,2.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of May and November
Remark: Excluding the unemployed not previously employed"
AT,Austria,1983,M,  19.8,  424.8,4.7,  50.6, 1 592.5,1.5,  70.4,28.1,  640.9,3.1,3.2,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of May and November
Remark: Excluding the unemployed not previously employed"
AT,Austria,1984,M,  22.1,  447.6,4.9,  57.7, 1 581.5,1.4,  79.8,27.7,  651.3,3.4,3.6,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of May and November
Remark: Excluding the unemployed not previously employed"
AT,Austria,1985,M,  18.5,  441.0,4.2,  55.4, 1 590.2,1.2,  73.9,25.0,  648.6,2.9,3.5,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of May and November
Remark: Excluding the unemployed not previously employed"
AT,Austria,1986,M,  15.6,  440.4,3.5,  48.9, 1 605.2,1.2,  64.5,24.2,  641.6,2.4,3.0,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Average of May and November
Remark: Excluding the unemployed not previously employed"
AT,Austria,1987 b,M,  20.4,  439.4,4.6,  53.8, 1 614.4,1.4,  74.2,27.5,  630.6,3.2,3.3,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1988,M,  17.5,  417.2,4.2,  48.9, 1 624.3,1.4,  66.4,26.4,  617.0,2.8,3.0,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1989,M,  14.3,  398.0,3.6,  43.8, 1 650.4,1.4,  58.1,24.6,  602.2,2.4,2.7,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1990,M,  15.1,  397.0,3.8,  47.9, 1 689.0,1.3,  63.0,24.0,  599.0,2.5,2.8,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1991,M,  15.8,  396.6,4.0,  55.1, 1 729.6,1.3,  70.9,22.3,  595.9,2.7,3.2,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1992,M,  16.5,  389.0,4.2,  57.7, 1 758.0,1.3,  74.2,22.2,  581.8,2.8,3.3,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1993,M,  17.8,  376.4,4.7,  70.3, 1 790.7,1.2,  88.1,20.2,  579.2,3.1,3.9,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: Average of May and November
AT,Austria,1994 b,M,  15.415,  327.498,4.7,  53.554, 1 822.521,1.6,  68.969,22.4,  501.238,3.1,2.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,1995,M,  15.02,  315.698,4.8,  52.905, 1 849.939,1.7,  67.925,22.1,  491.006,3.1,2.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,1996,M,  18.59,  301.744,6.2,  63.985, 1 841.901,1.8,  82.575,22.5,  476.72,3.9,3.5,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,1997,M,  16.248,  289.813,5.6,  66.095, 1 848.379,1.6,  82.343,19.7,  466.588,3.5,3.6,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,1998,M,  13.83,  278.982,5.0,  69.819, 1 859.386,1.3,  83.649,16.5,  461.621,3.0,3.8,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,1999,M,  12.945,  281.969,4.6,  64.484, 1 865.342,1.3,  77.429,16.7,  459.675,2.8,3.5,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2000,M,  13.901,  279.52,5.0,  56.054, 1 867.991,1.7,  69.955,19.9,  461.014,3.0,3.0,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2001,M,  15.766,  275.655,5.7,  56.891, 1 872.931,1.9,  72.657,21.7,  462.801,3.4,3.0,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2002,M,  18.16,  279.111,6.5,  70.07, 1 893.886,1.8,  88.23,20.6,  464.996,3.9,3.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2003,M,  21.256,  283.215,7.5,  73.705, 1 905.605,1.9,  94.961,22.4,  469.952,4.5,3.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2004,M,  27.5,  294.6,9.3,  70.2, 1 864.9,2.5,  97.7,28.1,  477.3,5.8,3.8,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2005,M,  33.3,  310.7,10.7,  74.7, 1 892.5,2.7,  108.0,30.8,  488.4,6.8,3.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2006,M,  27.6,  312.4,8.8,  69.4, 1 932.2,2.5,  97.0,28.5,  489.0,5.6,3.6,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2007,M,  26.402,  319.416,8.3,  63.344, 1 978.876,2.6,  89.746,29.4,  491.653,5.4,3.2,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2008,M,  25.2,  319.6,7.9,  56.7, 1 984.1,2.8,  81.9,30.8,  494.7,5.1,2.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2009,M,  33.1,  315.7,10.5,  80.9, 1 984.2,2.6,  114.0,29.0,  492.9,6.7,4.1,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AT,Austria,2010,M,  27.859,  312.86,8.9,  76.93, 1 989.32,2.3,  104.789,26.6,  491.872,5.7,3.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
AZ,Azerbaijan,1999,M,  55.6,  326.5,17.0,  202.8, 1 494.2,1.3,  258.4,21.5,  611.3,9.1,13.6,LABORSTA,PC,T,Youth: 16-24; Adult: 25+,Reference period: January
AZ,Azerbaijan,2003 b,M,  83.2,,,  127.3,,,  210.5,39.5,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,
AZ,Azerbaijan,2004,M,  73.7,,,  106.1,,,  179.8,41.0,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,
AZ,Azerbaijan,2005 b,M,  66.4,,,  97.7,,,  164.1,40.5,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,
AZ,Azerbaijan,2006,M,  60.5,,,  96.5,,,  157.0,38.5,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,
AZ,Azerbaijan,2007,M,  54.7,  301.2,18.2,  115.2, 1 865.0,2.9,  169.9,32.2,  919.8,5.9,6.2,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,
AZ,Azerbaijan,2008,M,  62.8,  335.7,18.7,  94.1, 1 869.5,3.7,  156.9,40.0,  925.8,6.8,5.0,LABORSTA,HS,C,Youth: 15-24; Adult: 25-64,
AZ,Azerbaijan,2009 b,M,  39.377,  293.385,13.4,  74.835, 1 908.066,3.4,  114.212,34.5,,,3.9,NSO,LFS,C,Youth: 15-24; Adult: 25-64,
BS,Bahamas,1986,M,  3.195,,,  2.445,,,  5.64,56.6,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: April
BS,Bahamas,1989,M,  3.09,,,  4.2,,,  7.29,42.4,,,,LABORSTA,HS,C,Youth: 15-24; Adult: 25+,Reference period: April
BS,Bahamas,1990 b,M,  2.153,  15.1,14.3,  2.527,  45.7,2.6,  4.68,46.0,  24.1,8.9,5.5,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: May
BS,Bahamas,1991 b,M,  3.35,  15.89,21.1,  4.875,  50.96,2.2,  8.225,40.7,,,9.6,CARIBBEAN,HS,C,Youth: 15-24; Adult: 25+,Reference period: April
BS,Bahamas,1992,M,  4.07,  17.22,23.6,  5.595,  51.51,2.2,  9.665,42.1,,,10.9,CARIBBEAN,HS,C,Youth: 15-24; Adult: 25+,Reference period: April
BS,Bahamas,1993,M,  3.875,  18.425,21.0,  5.585,  54.86,2.1,  9.46,41.0,,,10.2,CARIBBEAN,HS,C,Youth: 15-24; Adult: 25+,Reference period: April
